Date,TecDAX,1&1 Drillisch,Aixtron,Aumann,Adva,Bechtle,Cancom,Carl Zeiss Meditec,CompuGroup,Dialog Semiconductor,Drägerwerk,Evotec,Freenet,GFT Technologies,Infineon,Isra,Jenoptik,LPKF,Manz,Medigene,MorphoSys,Nemetschek,Nordex,Pfeiffer Vacuum,Qiagen,QSC,RIB Software,S&T,SAP,Sartorius,Siemens Healthineers,Siltronic,SLM,SMA,Software,Stratec,Süss,Telefonica,Telekom,United Internet,Wirecard,Xing
10.09.2015,1729.780029,38.615616,6.259,0,9.37,35.80228,15.069938,22.8232,28.055183,44.290001,82.381332,3.829,22.849382,18.901985,0,0,12.079776,8.355,64.109001,0,62.16,29.662956,25.424999,86.490898,23.371828,1.531636,13.685481,0,0,47.75806,0,0,0,32.667183,25.715,45.664219,0,4.201899,0,41.869602,37.107056,170.64917
11.09.2015,1714.599976,38.48064,6.297,0,9.338,35.496433,15.265344,23.039377,27.784397,43.34,81.180969,3.803,22.405891,19.065601,0,0,11.856367,8.536,62.3153,0,61.75,28.854319,25.184999,90.589645,23.197477,1.507676,13.685481,0,0,47.373817,0,0,0,30.647844,25.639999,46.058041,0,4.144526,0,41.450905,36.8424,172.879898
14.09.2015,1719,38.575119,6.352,0,9.17,35.357418,15.166464,24.000151,27.653841,43.965,81.663078,3.751,22.382751,18.811087,0,0,11.76328,8.45,62.975601,0,61.200001,29.052845,25.07,87.270744,23.371828,1.502146,14.019274,0,0,47.08873,0,0,0,33.647442,25.43,45.570454,0,4.220773,0,41.417603,36.692596,171.716049
15.09.2015,1736.689941,38.647106,6.566,0,9.227,35.510338,15.204133,24.187502,27.779564,45.605,81.476128,3.909,22.417461,19.229214,0,0,11.803453,8.484,62.955898,0,62.5,28.612211,25.325001,87.352364,23.780403,1.515048,13.971588,0,0,47.770454,0,0,0,34.240501,25.530001,45.570454,0,4.196615,0,41.679283,37.132027,172.394943
16.09.2015,1755.23999,39.236488,6.633,0,9.436,35.793011,15.434855,24.15868,27.566803,46.099998,81.722107,4.037,22.529297,19.351925,0,0,11.804434,8.501,64.148399,0,62.669998,28.859161,25.110001,87.778564,24.064335,1.519656,14.000198,0,0,49.840427,0,0,0,32.81422,25.725,45.518879,0,4.241156,0,42.117008,38.070812,175.401566
17.09.2015,1770.119995,39.137505,6.466,0,9.83,36.140564,15.514903,24.317205,28.340473,46.275002,82.194374,4.021,22.629564,19.76096,0,0,12.043522,8.433,64.503197,0,62.82,29.052845,25.035,87.152863,24.522711,1.504911,13.780849,0,0,50.472576,0,0,0,31.46146,25.620001,44.825008,0,4.279656,0,42.25975,39.913433,174.189224
18.09.2015,1760.329956,39.101513,6.429,0,9.67,35.677162,15.312431,24.365246,28.91589,45.325001,81.299034,3.998,22.425175,19.633703,0,0,11.999428,8.38,65.616898,0,62.549999,29.2659,24.719999,87.261681,24.457941,1.477264,13.871451,0,0,51.067535,0,0,0,30.706661,25.465,45.237579,0,4.236626,0,41.883873,39.998322,171.861511
21.09.2015,1746.969971,39.821365,6.391,0,9.503,36.196167,15.232384,24.389267,29.69923,36.75,80.147881,4.068,22.783825,19.77005,0,0,12.171884,8.353,65.242401,0,65.919998,30.268225,24.945,87.053123,24.59247,1.471735,13.685481,0,0,51.265858,0,0,0,29.64798,25.855,45.110996,0,4.308343,0,42.416763,39.923416,174.577179
22.09.2015,1698.300049,38.768581,5.854,0,9.413,35.18132,14.825089,23.966524,28.567739,35.105,78.701553,3.947,22.097374,19.079235,0,0,11.781897,8.304,66.080101,0,62.349998,29.60001,23.605,85.357391,23.755457,1.432107,13.590111,0,0,50.323833,0,0,0,29.304888,25.08,44.154579,0,4.267578,0,41.536552,39.389107,170.552185
23.09.2015,1711.689941,38.993534,5.755,0,9.618,35.39912,14.858049,23.62545,28.14222,35.965,78.780281,4.049,22.297911,19.274662,0,0,11.817173,8.294,63.468399,0,62.529999,28.825268,23.83,86.110039,24.049461,1.390637,13.489974,0,0,51.191486,0,0,0,28.501076,25.280001,44.163956,0,4.268332,0,41.360504,40.587563,171.619049
24.09.2015,1686.689941,40.658199,5.331,0,9.3,35.185959,14.608492,24.052996,28.292118,35.555,78.52446,4.032,22.124371,18.879263,0,0,11.562407,7.952,60.896198,0,60.07,29.609694,23.045,84.486862,23.147678,1.315069,13.399373,0,0,51.786446,0,0,0,26.986572,25.105,44.328045,0,4.027512,0,41.474697,40.228024,168.612457
25.09.2015,1738.52002,41.976425,5.397,0,9.684,36.492748,15.046394,23.635056,28.514549,35.73,78.544144,4.035,22.702837,19.58371,0,0,12.158165,7.959,64.325798,0,61.450001,31.149494,23.799999,88.231964,23.645876,1.379578,14.05742,0,0,53.67049,0,0,0,29.143145,25.975,44.914085,0,4.189821,0,43.439713,41.711109,174.140732
28.09.2015,1715.660034,41.580505,5.127,0,9.5,36.413967,14.460171,23.587017,27.832754,36.125,75.769562,3.962,22.402035,19.538263,0,0,12.120931,7.789,64.168098,0,58.380001,30.30212,23.379999,90.498978,22.763954,1.373127,13.747471,0,0,52.629311,0,0,0,28.486368,25.875,45.157879,0,4.185291,0,42.868763,41.416492,182.918091
29.09.2015,1713.75,41.522018,5.198,0,9.301,36.182266,14.297724,23.990543,27.987486,36.400002,74.382271,3.893,22.058811,19.533716,0,0,12.052341,7.858,63.093899,0,58.459999,30.679806,23.66,93.400749,22.524834,1.343637,13.351688,0,0,51.997162,0,0,0,35.299183,25.584999,47.745831,0,4.10074,0,42.33112,41.426476,182.772583
30.09.2015,1747.73999,42.750267,5.417,0,9.538,37.322235,14.636744,24.014565,28.567739,35.77,74.057587,3.975,22.779966,19.810955,0,0,12.405091,8.336,64.079399,0,59.610001,32.539188,24.43,93.5821,22.953369,1.388794,13.404142,0,0,52.716076,0,0,0,37.857658,26.09,48.74913,0,4.122633,0,43.073357,42.649899,186.215637
01.10.2015,1727.180054,41.850452,5.3,0,9.525,37.248085,14.248283,23.529371,28.084196,34.764999,72.630943,3.986,21.939262,19.942755,0,0,12.306125,8.221,61.921101,0,59.919998,32.587608,24.754999,94.98764,22.75906,1.381421,13.232477,0,0,51.501366,0,0,0,36.696053,26.299999,46.226814,0,4.032042,0,42.602322,43.049381,186.215637
02.10.2015,1737.780029,43.011215,5.347,0,9.484,37.150772,14.408377,24.763966,28.045511,36.025002,72.591583,3.985,22.139797,19.988201,0,0,12.394313,8.295,60.048599,0,60.07,32.403606,24.955,94.398232,22.933411,1.389715,13.160951,0,0,48.687687,0,0,0,37.181282,26.18,47.58643,0,3.990521,0,42.821182,43.788425,186.215637
05.10.2015,1783.27002,44.104488,5.232,0,9.455,37.813435,14.87453,25.758368,27.900448,36.599998,74.018234,4.132,22.93808,21.147135,0,0,12.605964,8.45,59.861401,0,61.360001,34.940887,26.940001,94.80629,23.536295,1.442245,13.847609,0,0,48.78685,0,0,0,37.78904,26.709999,48.374062,0,4.082622,0,44.757652,44.442581,187.137024
06.10.2015,1788.449951,44.176476,5.216,0,9.612,38.059036,15.430147,25.556606,27.697361,37.605,77.137177,4.171,23.173323,21.797047,0,0,12.619681,8.51,58.639301,0,61.77,34.955414,27.469999,96.891937,23.038,1.46897,14.105105,0,0,47.993568,0,0,0,37.205791,26.945,50.821365,0,4.106779,0,45.395214,43.169224,185.58522
