Date,Open,High,Low,Close,Adj Close,Volume
2008-02-04,828.530029,840.530029,828.530029,835.190002,835.190002,190815100
2008-02-05,834.159973,834.229980,792.460022,794.349976,794.349976,238170800
2008-02-06,785.190002,795.510010,768.630005,793.989990,793.989990,433505600
2008-02-07,786.710022,786.710022,753.460022,761.250000,761.250000,330184200
2008-02-08,771.849976,781.340027,763.179993,767.630005,767.630005,237244000
2008-02-11,764.650024,773.539978,762.770020,765.859985,765.859985,161723100
2008-02-12,772.580017,802.340027,772.460022,801.119995,801.119995,297476800
2008-02-13,795.859985,821.950012,789.210022,820.270020,820.270020,305085700
2008-02-14,827.909973,842.440002,818.049988,821.409973,821.409973,341576800
2008-02-15,817.770020,822.859985,798.909973,801.229980,801.229980,225515900
2008-02-18,820.320007,820.320007,820.320007,820.320007,820.320007,0
2008-02-19,822.640015,828.710022,810.869995,818.090027,818.090027,276956800
2008-02-20,812.479980,817.000000,798.849976,806.229980,806.229980,293579100
2008-02-21,814.679993,824.210022,809.049988,810.239990,810.239990,217548700
2008-02-22,804.489990,816.659973,798.590027,804.469971,804.469971,239016300
2008-02-25,813.090027,822.030029,808.020020,815.719971,815.719971,175413200
2008-02-26,819.859985,826.419983,813.590027,823.809998,823.809998,0
2008-02-27,825.719971,827.250000,807.719971,816.690002,816.690002,220202900
2008-02-28,815.000000,816.429993,801.630005,802.169983,802.169983,185803800
2008-02-29,800.140015,802.409973,782.650024,784.030029,784.030029,272786100
2008-03-03,772.979980,774.000000,764.590027,768.320007,768.320007,219163600
2008-03-04,769.510010,780.690002,759.309998,763.099976,763.099976,255479600
2008-03-05,766.859985,778.090027,766.789978,775.599976,775.599976,178367200
2008-03-06,776.880005,781.340027,764.309998,765.950012,765.950012,140071900
2008-03-07,760.669983,760.669983,742.900024,746.659973,746.659973,205896800
2008-03-10,744.229980,749.679993,729.229980,732.229980,732.229980,186166100
2008-03-11,734.090027,750.169983,731.719971,746.750000,746.750000,232133200
2008-03-12,753.760010,765.919983,748.419983,751.340027,751.340027,254064000
2008-03-13,748.030029,748.059998,726.640015,736.940002,736.940002,218551900
2008-03-14,736.849976,751.929993,729.309998,731.830017,731.830017,158635900
2008-03-17,721.780029,721.780029,689.359985,694.169983,694.169983,268818600
2008-03-18,699.619995,716.950012,699.270020,716.219971,716.219971,221714100
2008-03-19,721.950012,725.760010,699.359985,704.260010,704.260010,206969900
2008-03-20,697.869995,708.690002,692.950012,701.799988,701.799988,1088553300
2008-03-25,717.070007,737.909973,716.760010,736.710022,736.710022,213014100
2008-03-26,736.090027,742.450012,734.039978,742.109985,742.109985,201470600
2008-03-27,739.450012,771.599976,738.619995,771.270020,771.270020,335659600
2008-03-28,774.849976,779.929993,765.799988,772.169983,772.169983,223733400
2008-03-31,771.869995,776.450012,760.880005,776.390015,776.390015,179975100
2008-04-01,774.859985,801.309998,774.349976,801.309998,801.309998,246786500
2008-04-02,806.229980,809.409973,795.309998,801.229980,801.229980,226494000
2008-04-03,804.140015,804.690002,791.969971,795.289978,795.289978,214109300
2008-04-04,796.450012,820.960022,796.450012,820.960022,820.960022,244907100
2008-04-07,824.070007,835.250000,824.070007,833.710022,833.710022,223331900
2008-04-08,830.010010,830.010010,807.280029,814.440002,814.440002,196445300
2008-04-09,810.500000,821.150024,806.669983,809.479980,809.479980,0
2008-04-10,806.099976,806.299988,787.559998,804.590027,804.590027,194963400
2008-04-11,807.179993,817.820007,788.200012,791.099976,791.099976,184385800
2008-04-14,783.929993,789.400024,778.570007,787.179993,787.179993,151213800
2008-04-15,790.239990,801.570007,787.859985,798.440002,798.440002,0
2008-04-16,802.500000,826.140015,802.500000,823.599976,823.599976,199772100
2008-04-17,825.979980,828.239990,810.580017,816.080017,816.080017,0
2008-04-18,817.940002,833.080017,814.299988,831.429993,831.429993,227432500
2008-04-21,833.900024,834.789978,819.510010,822.909973,822.909973,159908800
2008-04-22,820.090027,834.489990,817.510010,832.140015,832.140015,228414600
2008-04-23,833.390015,848.270020,831.409973,847.039978,847.039978,280569800
2008-04-24,846.809998,850.890015,837.150024,843.260010,843.260010,213919100
2008-04-25,848.710022,855.000000,841.719971,844.130005,844.130005,177624400
2008-04-28,849.119995,896.570007,829.429993,852.159973,852.159973,209978900
2008-04-29,851.700012,852.489990,840.969971,846.479980,846.479980,276081400
2008-04-30,847.390015,849.119995,838.479980,846.229980,846.229980,0
2008-05-02,852.880005,856.030029,846.030029,852.210022,852.210022,183384300
2008-05-05,847.950012,848.159973,839.900024,844.070007,844.070007,161965000
2008-05-06,843.979980,850.659973,827.979980,833.390015,833.390015,0
2008-05-07,838.849976,850.739990,838.690002,846.909973,846.909973,226082800
2008-05-08,841.380005,847.049988,835.299988,846.450012,846.450012,203565100
2008-05-09,845.760010,845.830017,831.619995,835.289978,835.289978,0
2008-05-12,836.119995,840.909973,832.500000,837.080017,837.080017,0
2008-05-13,840.070007,846.400024,839.690002,843.869995,843.869995,0
2008-05-14,845.299988,865.760010,845.299988,864.940002,864.940002,246341000
2008-05-15,864.349976,864.349976,854.909973,861.390015,861.390015,189027100
2008-05-16,861.049988,874.570007,860.890015,866.039978,866.039978,203846700
2008-05-19,869.840027,887.469971,869.280029,887.280029,887.280029,0
2008-05-20,882.780029,882.780029,864.059998,865.429993,865.429993,202764900
2008-05-21,865.419983,873.130005,861.539978,866.820007,866.820007,243510000
2008-05-22,860.250000,877.090027,854.909973,874.059998,874.059998,210942700
2008-05-23,873.960022,874.419983,853.150024,853.150024,853.150024,193226300
2008-05-26,849.479980,854.010010,841.619995,843.109985,843.109985,115061100
2008-05-27,845.679993,850.169983,834.960022,841.859985,841.859985,0
2008-05-28,843.270020,844.440002,833.369995,840.210022,840.210022,292892600
2008-05-29,837.320007,838.219971,820.530029,825.229980,825.229980,357474200
2008-05-30,828.330017,853.690002,828.210022,852.190002,852.190002,524183400
2008-06-02,859.090027,879.650024,858.710022,866.030029,866.030029,501672800
2008-06-03,861.979980,880.070007,856.559998,879.020020,879.020020,285942100
2008-06-04,877.630005,877.630005,861.440002,870.830017,870.830017,236485400
2008-06-05,872.710022,872.880005,858.650024,866.020020,866.020020,0
2008-06-06,869.619995,874.979980,848.729980,850.650024,850.650024,227561000
2008-06-09,845.349976,845.869995,836.099976,838.080017,838.080017,0
2008-06-10,831.419983,831.500000,820.250000,823.289978,823.289978,198237600
2008-06-11,824.789978,826.690002,803.460022,804.659973,804.659973,230963500
2008-06-12,800.630005,815.690002,797.130005,812.080017,812.080017,216764900
2008-06-13,811.799988,819.280029,803.140015,815.090027,815.090027,0
2008-06-16,819.590027,828.750000,815.869995,825.200012,825.200012,168187900
2008-06-17,829.530029,843.840027,829.330017,841.960022,841.960022,0
2008-06-18,839.809998,845.989990,820.650024,825.270020,825.270020,177741400
2008-06-19,821.419983,830.950012,816.330017,824.599976,824.599976,0
2008-06-20,826.830017,830.849976,805.340027,815.159973,815.159973,1961238600
2008-06-23,815.530029,821.429993,808.659973,809.700012,809.700012,135284800
2008-06-24,812.250000,816.820007,791.150024,802.520020,802.520020,185902800
2008-06-25,806.169983,816.669983,805.109985,815.690002,815.690002,161147200
2008-06-26,813.030029,813.210022,782.400024,783.119995,783.119995,228043100
2008-06-27,777.669983,778.960022,754.869995,771.859985,771.859985,338934000
2008-06-30,769.440002,774.690002,751.010010,770.580017,770.580017,0
2008-07-01,769.789978,770.369995,746.530029,753.260010,753.260010,0
2008-07-02,751.820007,751.820007,733.539978,734.070007,734.070007,319280400
2008-07-03,726.239990,742.739990,710.940002,738.659973,738.659973,392690000
2008-07-04,742.729980,746.320007,732.880005,734.260010,734.260010,0
2008-07-07,736.119995,755.659973,736.119995,755.440002,755.440002,172593100
2008-07-08,744.159973,744.159973,730.090027,734.849976,734.849976,187175400
2008-07-09,738.669983,744.700012,733.909973,738.830017,738.830017,278656900
2008-07-10,730.849976,732.219971,719.340027,721.320007,721.320007,190118100
2008-07-11,725.960022,729.979980,702.390015,704.989990,704.989990,186439200
2008-07-14,707.049988,719.500000,707.049988,709.359985,709.359985,153433900
2008-07-15,703.340027,703.340027,675.619995,689.059998,689.059998,231932200
